@relation Credit_Approval-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0

@attribute 1 {a,b}
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 {l,u,y}
@attribute 5 {g,gg,p}
@attribute 6 {aa,c,cc,d,e,ff,i,j,k,m,q,r,w,x}
@attribute 7 {bb,dd,ff,h,j,n,o,v,z}
@attribute 8 numeric
@attribute 9 {f,t}
@attribute 10 {f,t}
@attribute 11 numeric
@attribute 12 {f,t}
@attribute 13 {g,p,s}
@attribute 14 numeric
@attribute 15 numeric
@attribute class {+,-}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
a,21.08,5,y,p,ff,ff,0,f,f,0,f,g,0,0,-,no,no
b,25.67,3.25,u,g,c,h,2.29,f,t,1,t,g,416,21,-,no,no
a,38.92,1665,u,g,aa,v,0.25,f,f,0,f,g,0,390,-,no,yes
a,15.75,375,u,g,c,v,1,f,f,0,f,g,120,18,-,no,no
a,28.58,3.75,u,g,c,v,0.25,f,t,1,t,g,40,154,-,no,no
b,22.25,9,u,g,aa,v,85,f,f,0,f,g,0,0,-,no,no
b,29.83,3.5,u,g,c,v,165,f,f,0,f,g,216,0,-,no,no
a,23.5,1.5,u,g,w,v,875,f,f,0,t,g,160,0,-,no,yes
b,32.08,4,y,p,cc,v,1.5,f,f,0,t,g,120,0,-,no,no
b,31.08,1.5,y,p,w,v,0.04,f,f,0,f,s,160,0,-,no,no
b,31.83,0.04,y,p,m,v,0.04,f,f,0,f,g,0,0,-,no,no
a,21.75,11.75,u,g,c,v,0.25,f,f,0,t,g,180,0,-,no,no
a,17.92,0.54,u,g,c,v,1.75,f,t,1,t,g,80,5,-,no,no
b,30.33,0.5,u,g,d,h,85,f,f,0,t,s,252,0,-,no,no
b,51.83,2.04,y,p,ff,ff,1.5,f,f,0,f,g,120,1,-,no,no
b,47.17,5835,u,g,w,v,5.5,f,f,0,f,g,465,150,-,no,yes
b,25.83,12835,u,g,cc,v,0.5,f,f,0,f,g,0,2,-,no,yes
a,50.25,835,u,g,aa,v,0.5,f,f,0,t,g,240,117,-,yes,no
b,29.5,2,y,p,e,h,2,f,f,0,f,g,256,17,-,no,no
a,37.33,2.5,u,g,i,h,0.21,f,f,0,f,g,260,246,-,no,no
a,41.58,1.04,u,g,aa,v,665,f,f,0,f,g,240,237,-,no,yes
a,30.58,10665,u,g,q,h,85,f,t,12,t,g,129,3,-,no,yes
b,19.42,7.25,u,g,m,v,0.04,f,t,1,f,g,100,1,-,no,no
a,17.92,10.21,u,g,ff,ff,0,f,f,0,f,g,0,50,-,no,no
a,20.08,1.25,u,g,c,v,0,f,f,0,f,g,0,0,-,no,no
b,19.5,0.29,u,g,k,v,0.29,f,f,0,f,g,280,364,-,no,no
b,27.83,1,y,p,d,h,3,f,f,0,f,g,176,537,-,no,no
b,17.08,3.29,u,g,i,v,335,f,f,0,t,g,140,2,-,no,no
b,36.42,0.75,y,p,d,v,585,f,f,0,f,g,240,3,-,yes,no
b,40.58,3.29,u,g,m,v,3.5,f,f,0,t,s,400,0,-,no,no
b,21.08,10085,y,p,e,h,1.25,f,f,0,f,g,260,0,-,no,yes
a,22.67,0.75,u,g,c,v,2,f,t,2,t,g,200,394,-,no,no
a,25.25,13.5,y,p,ff,ff,2,f,t,1,t,g,200,1,-,no,no
b,17.92,205,u,g,aa,v,0.04,f,f,0,f,g,280,750,-,no,no
b,35,3375,u,g,c,h,8.29,f,f,0,t,g,0,0,-,no,yes
